driver,month,year,Charging Sessions,Total kWh,Mean kWh
Driver 1,1,2021,8,402.7,50.3375
Driver 1,2,2021,8,327.6,40.95
Driver 1,3,2021,14,430.88,30.777142857142856
Driver 1,4,2021,14,527.0,37.642857142857146
Driver 1,5,2021,10,423.36,42.336
Driver 1,6,2021,17,483.454,28.43847058823529
Driver 1,7,2021,14,492.588,35.18485714285715
Driver 1,8,2021,5,197.01,39.402
Driver 1,9,2021,4,155.49,38.8725
Driver 1,10,2021,10,366.456,36.6456
Driver 1,11,2021,14,478.096,34.14971428571429
Driver 1,12,2021,9,358.27,39.80777777777777
